,PREDICT
0,1956.6730139999986
1,1118.357576
2,529.11126
3,3069.357974000001
4,3203.836258
5,1930.600286000001
6,589.672428
7,1391.5486320000011
8,1481.218575999999
9,2699.7923679999994
10,2005.8889500000012
11,1600.3568280000009
12,658.5760699999996
13,1842.1953619999995
14,1043.4084699999994
15,3118.161114000002
16,3020.215276
17,3606.338990000001
18,2813.770670000001
19,452.0382519999996
20,2951.8109839999997
21,3616.013063999999
22,862.8368519999993
23,455.0343519999999
24,3371.844229999997
25,533.8650719999999
26,900.3679979999995
27,3238.431226000002
28,3437.5853220000004
29,1929.0822620000001
30,77.90525800000002
31,3048.838017999999
32,524.8834300000003
33,3999.6669980000024
34,3376.325064
35,4078.2247400000015
36,1625.2843799999994
37,318.1791619999999
38,3572.3032939999994
39,2084.220320000001
40,2110.08665
41,284.882504
42,2884.838162
43,2832.2066720000007
44,587.5818159999998
45,1910.9658439999994
46,244.56831400000013
47,2987.884028
48,2867.600599999999
49,2101.3713279999997
50,1315.5542199999993
51,2090.119308
52,3406.2461160000003
53,2050.0048580000007
54,3995.425852000002
55,2701.969533999999
56,3409.275506000001
57,558.1601139999997
58,644.8472739999999
59,1225.5047700000002
60,2909.6924760000006
61,3957.3021439999993
62,3650.3017640000007
63,1562.9521839999998
64,2784.362284000001
65,2316.291568
66,2792.8712080000005
67,3921.688502000001
68,3728.486657999999
69,4284.55616
70,3208.004166
71,2422.6198280000012
72,1841.6427480000002
73,4224.361181999999
74,4593.201066
75,2813.87054
76,399.0672039999996
77,2775.6869100000017
78,614.0806560000002
79,2209.5039060000004
80,2309.001058000001
81,1482.150696
82,1789.843508000001
83,3082.4808919999987
84,2660.37035
85,1476.0453100000002
86,3816.152543999999
87,3951.1834419999996
88,835.5923159999998
89,541.581694
90,2827.812391999999
91,3567.456270000003
92,2642.8398359999997
93,1487.390542000001
94,2005.8956080000003
95,797.9746159999996
96,2744.174596
97,2094.47364
98,3185.8996059999995
99,1197.04182
100,2392.5389840000016
101,1632.5083099999997
102,3601.44536
103,2307.2167139999992
104,519.4571599999996
105,3961.4500780000035
106,499.58968799999997
107,1055.652532
108,1515.5272500000005
109,4404.573267999996
110,415.465858
111,3702.620328000001
112,207.67633600000002
113,4418.195536
114,1675.3924879999995
115,2230.3967100000004
116,1066.431834
117,1241.257598
118,1317.6048839999994
119,1728.8495699999999
120,4301.307687999998
121,434.5143960000002
122,1515.8801240000007
123,1574.7634760000003
124,3331.4168540000014
125,4192.149777999997
126,2135.287179999999
127,296.1811299999999
128,1535.2482459999997
129,2077.9018779999997
130,2651.5018939999995
131,1818.3197739999994
132,1896.9840439999994
133,262.731338
134,1071.5185460000005
135,391.13752599999987
136,567.8075560000003
137,884.1291359999994
138,257.6046779999999
139,2643.2126840000005
140,516.3611900000001
141,574.638664
142,1548.297925999999
143,1822.421102
144,1329.775708
145,1776.92033
146,2394.9425220000016
147,4494.090078000002
148,1595.463198
149,1613.8259620000006
150,1952.784742
151,4417.196836000002
152,443.72241000000025
153,4067.2856459999994
154,2409.989602
155,2446.402204000002
156,555.9896060000001
157,1050.292842
158,1558.7909339999997
159,948.0193040000001
160,2540.3998480000014
161,3140.1524879999984
162,4457.118204000002
163,3296.3824579999996
